Primary streaming service,BPM
Spotify,89
Spotify,
Spotify,169
Spotify,138
Other streaming service,124
YouTube Music,
I do not use a streaming service.,192
Spotify,76
Spotify,119
Spotify,172
Other streaming service,79
Spotify,112
Spotify,130
Apple Music,116
I do not use a streaming service.,165
Spotify,110
Spotify,174
Spotify,180
Spotify,171
Other streaming service,
Other streaming service,70
Other streaming service,120
Spotify,56
Spotify,162
Spotify,101
YouTube Music,110
Spotify,172
Spotify,90
Spotify,135
Spotify,81
Spotify,170
I do not use a streaming service.,120
Spotify,90
Spotify,115
Spotify,
I do not use a streaming service.,
Spotify,
Other streaming service,
I do not use a streaming service.,220
Spotify,160
Spotify,121
Apple Music,105
Spotify,110
Spotify,134
Spotify,148
Spotify,120
YouTube Music,122
Spotify,90
YouTube Music,122
Spotify,129
Spotify,132
Spotify,178
I do not use a streaming service.,
Spotify,115
YouTube Music,137
I do not use a streaming service.,92
Spotify,140
Spotify,130
YouTube Music,
Spotify,63
Spotify,119
Spotify,
YouTube Music,180
I do not use a streaming service.,68
Spotify,85
Spotify,128
Spotify,150
I do not use a streaming service.,0
Spotify,92
Apple Music,121
Spotify,155
Other streaming service,150
Other streaming service,624
YouTube Music,136
YouTube Music,121
YouTube Music,113
Spotify,80
Spotify,140
Spotify,100
Spotify,92
Spotify,120
Spotify,93
I do not use a streaming service.,
I do not use a streaming service.,136
I do not use a streaming service.,108
I do not use a streaming service.,147
YouTube Music,93
Apple Music,98
Spotify,120
Spotify,130
Spotify,218
YouTube Music,123
Other streaming service,135
Spotify,105
Spotify,132
Spotify,
Spotify,115
Spotify,120
YouTube Music,
Spotify,149
Spotify,125
Spotify,132
Spotify,110
Spotify,110
Spotify,116
Spotify,145
YouTube Music,
YouTube Music,105
Spotify,80
Spotify,100
Apple Music,73
Apple Music,80
Spotify,
Spotify,
I do not use a streaming service.,120
I do not use a streaming service.,117
Spotify,
Spotify,89
Spotify,115
Spotify,144
Spotify,105
YouTube Music,114
Spotify,145
Spotify,143
Spotify,128
Spotify,90
Spotify,110
Spotify,130
YouTube Music,
YouTube Music,115
Spotify,186
YouTube Music,99
Spotify,150
Spotify,149
Spotify,
Spotify,120
Spotify,140
Spotify,90
Spotify,120
Spotify,210
I do not use a streaming service.,
YouTube Music,95
Apple Music,163
Spotify,97
Spotify,137
Spotify,
Spotify,70
Spotify,150
Spotify,168
Spotify,163
Spotify,140
Spotify,105
Spotify,78
Spotify,128
Apple Music,90
YouTube Music,136
Other streaming service,108
I do not use a streaming service.,95
Spotify,147
Spotify,120
Spotify,160
Other streaming service,120
Spotify,170
YouTube Music,98
